"id" "HR" "L95CI" "H95CI" "pvalue"
"1" "CDC20" "1.00295395586326" "1.00117996946959" "1.00473108557563" "0.00109247521304947"
"2" "CCNB1" "1.00431842982104" "1.00229338189853" "1.00634756917941" "2.85888412302107e-05"
"3" "MCM4" "1.00457658980491" "1.00172009651106" "1.00744122864157" "0.00167285994359552"
"4" "BIRC5" "1.00549198660606" "1.00204674441461" "1.00894907424665" "0.00176281914018758"
"5" "CDK1" "1.00574161984361" "1.00176317048812" "1.00973586939993" "0.004639227810202"
"6" "CDCA8" "1.00544435378804" "1.00158588374394" "1.00931768805031" "0.00564488531928086"
"7" "AURKA" "1.00755887392359" "1.00337770086478" "1.01175747033965" "0.000386306517659328"
"8" "CCNA2" "1.00840361751658" "1.00399911466075" "1.01282744274543" "0.000178965014744566"
"9" "MKI67" "1.009410821129" "1.00407993190502" "1.01477001325897" "0.000526221028501852"
"10" "AURKB" "1.005273332485" "1.00001902197686" "1.01055525024691" "0.0491741893332"
"11" "CDCA5" "1.01078179440193" "1.00529930787363" "1.01629418014364" "0.000111258578266887"
"12" "PLK1" "1.01706616564054" "1.00939770320923" "1.02479288589816" "1.17429366097363e-05"
"13" "CDC6" "1.00757248711331" "1.00132179904507" "1.01386219470691" "0.0175017541010326"
"14" "BTK" "0.980637872561847" "0.964516349041995" "0.997028861208817" "0.0207893894481881"
"15" "CDC45" "1.00894833388997" "1.00121283466064" "1.016743598582" "0.0232904880149809"
"16" "CHEK1" "1.01595049536239" "1.00658743021568" "1.02540065377721" "0.000808516597745748"
"17" "BUB1B" "1.01443962596488" "1.00383590436624" "1.02515535681848" "0.00749332478830171"
"18" "CFTR" "0.98330246395065" "0.968151785625125" "0.99869023635288" "0.0335537868954251"
"19" "RAD51" "1.02678211514387" "1.01107621554596" "1.04273198772659" "0.000777800586403176"
"20" "CTLA4" "0.968392880654028" "0.941190686520659" "0.996381269738395" "0.0271505234264189"
"21" "FANCD2" "1.03524008037829" "1.00295781448137" "1.06856141758647" "0.032138229805013"
"22" "CDC14A" "0.95413226079528" "0.912814877685596" "0.997319821734845" "0.0376371298512187"
"23" "CDC25C" "1.05099875587076" "1.02675504183487" "1.07581491186826" "2.94848204911194e-05"
"24" "CDC25A" "1.03308074975186" "1.01282232236048" "1.05374438531383" "0.00127805172412553"
"25" "TERT" "1.08714521895935" "1.02895039807865" "1.14863139108853" "0.00291382543019567"
